"Location","Total Distance (km)","Distance (km)","Ascent (m)","Descent (m)","Total Ascent (m)","Total Descent (m)","Notes"
"Ngapae Holiday Park","87.5","87.5","500","644","500","644","km 87.4 | Facilities: Holiday park accommodation, campground, motorhomes, powered sites for campervans, tent sites for camping | Address: 6 Matai Street Waipapakauri 0486 | Phone: (09) 406 7298 | Hours: 9:00am - 6:00pm | Website: https://www.ngapaeholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"Ahipara Holiday Park","101.7","14.2","14","12","514","656","km 101.5 | Facilities: Accommodation, tent and power sites for campervans and caravans, cabins and a self-contained lodge. | Address: 164-170 Takahe St, Ahipara | Phone: (09) 409 4864 | Website: https://ahiparaholidaypark.co.nz/ | Categories: LodgingBusiness"
"Ahipara","102.9","1.3","10","0","524","656","km 102.8 | Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga."
"Kaitaia","116.1","13.2","60","57","583","713","km 116.0 | Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus."
"Paihia Top 10 Holiday Park","248.7","132.5","3250","3264","3833","3977","km 248.5 | Facilities: Accommodation: powered caravan/campervan sites, tents, Kayak hire, dump station | Address: 1290 State Highway 11, Paihia, | Phone: (09) 402 7678 | Hours: 9:00am - 6:00pm | Website: http://www.beachsideholiday.co.nz | Categories: LodgingBusiness"
"Opua","252.2","3.5","79","85","3913","4062","km 251.9 | Small general store, expensive. Ferry point."
"Whananaki turnoff","322.7","70.5","1695","1689","5608","5751","km 322.5 | Leave the trail here for Whananaki (resupply), 1.2 km off trail. | Whananaki Superette: limited supplies. Holiday park with a hut for TA walkers."
"Matapouri turnoff","331.4","8.7","309","295","5917","6046","km 331.2 | Leave the trail here for Matapouri (resupply), 2.9 km off trail. | Small general store."
"Trail ends - Whangarei Heads","407.7","76.3","2351","2363","8267","8410","The walking route stops here and starts again 1.1 km away. Crossed by Whangarei Heads crossing."
"Ruakaka Reserve Motor Camp","418.4","10.7","7","5","8274","8415","km 418.0 | Facilities: motor camp | Address: 21 Ruakaka Beach Road | Phone: (09) 432 7590 | Website: http://www.motorcamp.co.nz/ | Categories: RVPark LodgingBusiness"
"Waipu","428.8","10.3","27","18","8301","8433","km 428.4 | Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy."
"Mangawhai Heads Holiday Park","457.3","28.5","900","902","9201","9335","km 456.9 | "
"Mangawhai Heads","458.7","1.4","36","15","9237","9350","km 458.4 | Four Square at 3 Wood St. Holiday park."
"Riverside Holiday Park","464.6","5.9","32","54","9268","9404","km 464.3 | Facilities: Holiday park accommodation, camping ground | Address: Black Swamp Road, Mangawhai | Phone: (09) 431 4825 | Website: https://www.riversideholidaypark.co.nz/ | Categories: LodgingBusiness"
"Pakiri Beach Holiday Park","485.8","21.2","121","117","9390","9521","km 485.5 | Facilities: Holiday park, campground, accommodation, lodges, flats, self contained units, store. Dump station. | Address: 261 Pakiri River Road, Pakiri | Phone: (09) 422 6199 | Hours: 9:00am - 5:00pm | Website: http://www.pakiriholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"Pakiri Beach Holiday Park","488.4","2.6","26","20","9415","9540","km 488.1 | Camp store: food, drinks, milk, bread. 9am-5pm summer only."
"Puhoi","539.7","51.2","2370","2367","11785","11908","km 539.1 | General store 7am-7pm, historic pub, three cafes."
"Ōrewa Beach Holiday Park","558.9","19.2","288","308","12073","12216","km 558.3 | Facilities: Holiday park accommodation, tent sites for camping, powered sites for campervans, cabins | Address: 265 Hibiscus Coast Highway, Orewa Beach | Phone: 0800 673 921 | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about | Categories: RVPark LodgingBusiness"
"Red Beach Top 10 Holiday Park turnoff","559","0.1","1","0","12074","12216","km 558.4 | Leave the trail here for Red Beach Top 10 Holiday Park (accommodation), 0.6 km off trail. | Facilities: Holiday campground, caravans, tents, motor homes, children's playground, trampoline | Address: 23 Marie Ave, Red Beach, Orewa, Hibiscus Coast, Auckland | Phone: (09) 426 4526 | Website: http://www.pinewoods.co.nz | Categories: LodgingBusiness"
"Trail ends - Devonport","606.6","47.6","1009","1010","13083","13225","The walking route stops here and starts again 2.9 km away. Crossed by Devonport Ferry crossing."
"Upper Mangatawhiri Campground turnoff","671.1","64.4","499","452","13582","13677","km 670.5 | Leave the trail here for Upper Mangatawhiri Campground (campsite), 15.7 km off trail. | Facilities: Auckland Council"
"Repeater Campground turnoff","671.1","0","0","0","13582","13677","km 670.5 | Leave the trail here for Repeater Campground (campsite), 14.5 km off trail. | Facilities: Auckland Council"
"Mangatangi Trig Campground turnoff","694.4","23.4","545","574","14127","14252","km 693.8 | Leave the trail here for Mangatangi Trig Campground (campsite), 14.9 km off trail. | Facilities: Auckland Council"
"Hamilton","785.9","91.5","1077","1053","15204","15304","km 785.5 | Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement."
"Whatawhata","800.2","14.3","69","91","15272","15395","km 799.8 | Petrol station store, gastro pub and village cafe."
"Waitomo Top 10 Holiday Park","883.3","83.1","3107","3065","18379","18460","km 883.1 | Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 12 Waitomo Village Road Waitomo Caves Village 3977 | Phone: (07) 878 7639 | Hours: 9:00am - 8:00pm | Website: http://www.waitomopark.co.nz | Categories: RVPark LodgingBusiness"
"Waitomo","883.4","0.2","14","0","18394","18460","km 883.2 | Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants."
