"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Leg crosses","Leg gap km","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"12.5","12.5","Twilight Campsite","campsite","DOC","Cape Reinga to Ahipara","North","21","18","0","28.3","0","0","","","","Yes","","Yes","","","","https://www.doc.govt.nz/link/5d631de0e3a5405e944f863a7bdbd36e.aspx","Category: Basic | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Paki Recreation Reserve | Region: Northland"
"40.7","40.7","The Bluff Campsite","campsite","Private","Cape Reinga to Ahipara","North","2","192","28.3","29.9","168","188","","","","","","","","","","",""
"70.6","70.6","Hukatere Lodge Camp","campsite","Private","Cape Reinga to Ahipara","North","2","454","29.9","16.8","22","21","","","","","","","","","","",""
"87.4","87.4","Ngapae Holiday Park","caravan-park","Private","Cape Reinga to Ahipara","North","3","314","16.8","14.1","17","15","","","","","","","(09) 406 7298","6 Matai Street Waipapakauri 0486","9:00am - 6:00pm","https://www.ngapaeholidaypark.co.nz/","Facilities: Holiday park accommodation, campground, motorhomes, powered sites for campervans, tent sites for camping | Address: 6 Matai Street Waipapakauri 0486 | Phone: (09) 406 7298 | Hours: 9:00am - 6:00pm | Website: https://www.ngapaeholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"101.5","101.5","Ahipara Holiday Park","accommodation","Private","The Northland Forests","North","7","233","14.1","1.3","14","10","","","","","","","(09) 409 4864","164-170 Takahe St, Ahipara","","https://ahiparaholidaypark.co.nz/","Facilities: Accommodation, tent and power sites for campervans and caravans, cabins and a self-contained lodge. | Address: 164-170 Takahe St, Ahipara | Phone: (09) 409 4864 | Website: https://ahiparaholidaypark.co.nz/ | Categories: LodgingBusiness"
"102.8","102.8","Ahipara","resupply","Resupply","The Northland Forests","North","16","2","1.3","13.2","10","1","","","","","","","","","","","Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga."
"116","116","Kaitaia","town","Resupply","The Northland Forests","North","19","304","13.2","39.2","60","57","","","","","","","","","","","Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus."
"155.2","155.2","Makene Road Campsite","campsite","Private","The Northland Forests","North","41","26","39.2","6.1","1259","1237","","","","","","","trishterran@gmail.com","","","","Phone: trishterran@gmail.com"
"161.3","161.3","Mangamuka Bridge Dairy","food","Resupply","The Northland Forests","North","20","16","6.1","16.5","16","37","","","","","","","","","","","Dairy and takeaways on SH1, Mon-Fri 7am-6pm. Phone charging. Snacks only."
"177.8","177.8","Blackbridge Road Campsite","campsite","DOC","The Northland Forests","North","302","71","16.5","20.6","586","304","","","","Yes","","Yes","","","","","Category: Backcountry | Facilities: Water, toilet | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Blackbridge Road | Region: Northland"
