"Section","Island","Start km","End km","Length km","Official start km","Official end km"
"Invercargill to Bluff","South","0","36","36","3037.2","3073.2"
"Oreti Beach Track","South","36","66.4","30.4","3006.8","3037.2"
"Tīhaka Beach Track","South","66.4","79.3","12.9","2993.9","3006.8"
"Long Hilly Track","South","79.3","86","6.7","2987.2","2993.9"
"Longwood Forest Track","South","86","140.3","54.3","2932.9","2987.2"
"Birchwood to Merrivale","South","140.3","167.4","27.1","2905.8","2932.9"
"Tākitimu Track","South","167.4","243.4","75.9","2829.8","2905.8"
"Mararoa River Track","South","243.4","288.4","45","2784.8","2829.8"
"Mavora Walkway","South","288.4","339.4","51.1","2733.8","2784.8"
"Wakatipu Track","South","339.4","369.1","29.6","2704.1","2733.8"
"Motatapu Alpine Track","South","369.1","417.9","48.8","2655.3","2704.1"
"Glendhu Bay Track","South","417.9","434.6","16.8","2638.6","2655.3"
"Gladstone to Wānaka","South","434.6","465.3","30.7","2607.9","2638.6"
"Breast Hill Track","South","465.3","519.1","53.8","2554.1","2607.9"
"East Ahuriri Track","South","519.1","544.1","25","2529.1","2554.1"
"Tekapo to Lake Ōhau","South","544.1","631","86.9","2442.2","2529.1"
"Two Thumb Track","South","631","705.4","74.4","2367.8","2442.2"
"Rakaia River to Rangitata River","South","705.4","774.9","69.5","2298.3","2367.8"
"Arthur's Pass to Rākaia River","South","774.9","848.4","73.5","2224.8","2298.3"
"Boyle to Arthur's Pass","South","848.4","963.8","115.5","2109.4","2224.8"
"Waiau Pass Track","South","963.8","1082.7","118.9","1990.5","2109.4"
"Richmond Alpine Track","South","1082.7","1178.4","95.7","1894.8","1990.5"
"Pelorus River Track","South","1178.4","1223","44.6","1850.2","1894.8"
"Anakiwa to Pelorus Bridge","South","1223","1264.7","41.6","1808.6","1850.2"
"Queen Charlotte Track","South","1264.7","1334.3","69.6","1739","1808.6"
"Wellington South","North","1334.3","1344.4","10.2","1728.8","1739"
"Wellington City","North","1344.4","1350","5.5","1723.2","1728.8"
"Ngaio","North","1350","1358.1","8.1","1715.2","1723.2"
"Rangituhi/ Colonial Knob Walk","North","1358.1","1381.2","23.2","1692","1715.2"
"Ara Harakeke (Flax Pathway)","North","1381.2","1394.6","13.4","1678.6","1692"
"Escarpment Track","North","1394.6","1405","10.4","1668.2","1678.6"
"Kāpiti Coast","North","1405","1426.6","21.6","1646.7","1668.2"
"Pukeatua Track","North","1426.6","1452.6","26.1","1620.6","1646.7"
"Tararua Ranges","North","1452.6","1500","47.4","1573.2","1620.6"
"Palmerston North to Poads Road","North","1500","1568.2","68.2","1505","1573.2"
"Feilding to Palmerston North","North","1568.2","1588.3","20.1","1484.9","1505"
"Bulls to Feilding","North","1588.3","1611.1","22.8","1462.1","1484.9"
"Whanganui to Bulls","North","1611.1","1669.6","58.5","1403.6","1462.1"
"Whanganui River - via Whanganui River","North","1669.6","1791.4","121.8","1281.8","1403.6"
"National Park to Whanganui River","North","1791.4","1880.1","88.7","1193.1","1281.8"
