"Section","Island","Start km","End km","Length km"
"Cape Reinga to Ahipara","North","0","101.2","101.2"
"The Northland Forests","North","101.2","199.2","98"
"Mangakaretu to Kerikeri","North","199.2","225.4","26.2"
"Kerikeri to Waitangi","North","225.4","242.9","17.5"
"Paihia to Ōpua Coastal Walkway","North","242.9","251.8","9"
"Waikare Connection - by Water","North","251.8","262.9","11.1"
"Waikare to Ngunguru","North","262.9","348.3","85.4"
"Ngunguru to Pataua North","North","348.3","374.6","26.3"
"Pataua North to Whāngārei Heads","North","374.6","407.3","32.7"
"Bream Bay Walk","North","407.3","434.7","27.4"
"Cullen Brynderwyn Walkway","North","434.7","448.3","13.6"
"Bream Tail to Mangawhai Cliffs Walkway","North","448.3","455.7","7.4"
"Mangawhai to Pākiri","North","455.7","485.5","29.8"
"Mt Tamahunga (Te Hīkoi O Te Kiri) Track","North","485.5","496.4","10.9"
"Govan Wilson to Pūhoi Valley","North","496.4","534","37.6"
"Pūhoi Track","North","534","539.1","5.1"
"Pūhoi to Wenderholm Kayak","North","539.1","546.5","7.4"
"Wenderholm to Stillwater","North","546.5","572.8","26.2"
"Okura to Long Bay - Low Tide crossing","North","572.8","577.3","4.6"
"North Shore Coastal Walk","North","577.3","606","28.7"
"Coast to Coast Walkway","North","606","621.7","15.7"
"Onehunga to Puhinui","North","621.7","644.2","22.5"
"Puhinui Stream Track","North","644.2","653.1","8.9"
"Botanic Gardens to Mangatāwhiri","North","653.1","692","38.9"
"Mangatāwhiri to Mercer","North","692","706","14"
"Mercer to Rangiriri","North","706","729.1","23.2"
"Rangiriri to Huntly","North","729.1","750.5","21.4"
"Hakarimata Walkway","North","750.5","762.8","12.3"
"Ngāruawāhia to Hamilton - Te Awa (The River)","North","762.8","785.4","22.6"
"Hamilton City","North","785.4","793.9","8.5"
"Waipā Walk","North","793.9","822.2","28.3"
"Pirongia Traverse","North","822.2","838.4","16.2"
"Pirongia to Waitomo","North","838.4","883.1","44.8"
"Pehitawa Track","North","883.1","897.9","14.8"
"Te Kūiti to Pureora","North","897.9","955.4","57.6"
"Pureora Forest - The Timber Trail","North","955.4","1060.2","104.7"
"42 Traverse","North","1060.2","1133.3","73.2"
"Tongariro Alpine Crossing","North","1133.3","1171.7","38.4"
"Mangatepopo to National Park","North","1171.7","1193.1","21.4"
"National Park to Whanganui River","North","1193.1","1281.8","88.7"
"Whanganui River - via Whanganui River","North","1281.8","1403.6","121.8"
"Whanganui to Bulls","North","1403.6","1462.1","58.5"
"Bulls to Feilding","North","1462.1","1484.9","22.8"
"Feilding to Palmerston North","North","1484.9","1505","20.1"
"Palmerston North to Poads Road","North","1505","1573.2","68.2"
"Tararua Ranges","North","1573.2","1620.6","47.4"
"Pukeatua Track","North","1620.6","1646.7","26.1"
"Kāpiti Coast","North","1646.7","1668.2","21.6"
"Escarpment Track","North","1668.2","1678.6","10.4"
"Ara Harakeke (Flax Pathway)","North","1678.6","1692","13.4"
"Rangituhi/ Colonial Knob Walk","North","1692","1715.2","23.2"
"Ngaio","North","1715.2","1723.2","8.1"
"Wellington City","North","1723.2","1728.8","5.5"
"Wellington South","North","1728.8","1739","10.2"
"Queen Charlotte Track","South","1739","1808.6","69.6"
"Anakiwa to Pelorus Bridge","South","1808.6","1850.2","41.6"
"Pelorus River Track","South","1850.2","1894.8","44.6"
"Richmond Alpine Track","South","1894.8","1990.5","95.7"
"Waiau Pass Track","South","1990.5","2109.4","118.9"
"Boyle to Arthur's Pass","South","2109.4","2224.8","115.5"
"Arthur's Pass to Rākaia River","South","2224.8","2298.3","73.5"
"Rakaia River to Rangitata River","South","2298.3","2367.8","69.5"
"Two Thumb Track","South","2367.8","2442.2","74.4"
"Tekapo to Lake Ōhau","South","2442.2","2529.1","86.9"
"East Ahuriri Track","South","2529.1","2554.1","25"
"Breast Hill Track","South","2554.1","2607.9","53.8"
"Gladstone to Wānaka","South","2607.9","2638.6","30.7"
"Glendhu Bay Track","South","2638.6","2655.3","16.8"
"Motatapu Alpine Track","South","2655.3","2704.1","48.8"
"Wakatipu Track","South","2704.1","2733.8","29.6"
"Mavora Walkway","South","2733.8","2784.8","51.1"
"Mararoa River Track","South","2784.8","2829.8","45"
"Tākitimu Track","South","2829.8","2905.8","75.9"
"Birchwood to Merrivale","South","2905.8","2932.9","27.1"
"Longwood Forest Track","South","2932.9","2987.2","54.3"
"Long Hilly Track","South","2987.2","2993.9","6.7"
"Tīhaka Beach Track","South","2993.9","3006.8","12.9"
"Oreti Beach Track","South","3006.8","3037.2","30.4"
"Invercargill to Bluff","South","3037.2","3073.2","36"
